"id"|"status"|"company_parking_lot_id"|"cms_created"|"cms_updated"
"144197"|"occupied"|"67"|"2019-02-04 06:37:05"|"2019-02-04 06:37:05"
"144198"|"free"|"64"|"2019-02-04 06:52:06"|"2019-02-04 06:52:06"
"144199"|"occupied"|"60"|"2019-02-04 06:57:03"|"2019-02-04 06:57:03"
"144200"|"occupied"|"10"|"2019-02-04 06:59:03"|"2019-02-04 06:59:03"
"144201"|"occupied"|"83"|"2019-02-04 07:04:06"|"2019-02-04 07:04:06"
"144202"|"occupied"|"54"|"2019-02-04 07:11:04"|"2019-02-04 07:11:04"
"144204"|"occupied"|"80"|"2019-02-04 07:19:05"|"2019-02-04 07:19:05"
"144205"|"occupied"|"32"|"2019-02-04 07:22:05"|"2019-02-04 07:22:05"
"144206"|"occupied"|"47"|"2019-02-04 07:22:05"|"2019-02-04 07:22:05"
"144207"|"occupied"|"82"|"2019-02-04 07:23:06"|"2019-02-04 07:23:06"
"144208"|"occupied"|"89"|"2019-02-04 07:24:07"|"2019-02-04 07:24:07"
"144209"|"occupied"|"16"|"2019-02-04 07:28:06"|"2019-02-04 07:28:06"
"144210"|"occupied"|"71"|"2019-02-04 07:42:05"|"2019-02-04 07:42:05"
"144211"|"occupied"|"48"|"2019-02-04 07:46:06"|"2019-02-04 07:46:06"
"144212"|"occupied"|"17"|"2019-02-04 07:49:05"|"2019-02-04 07:49:05"
"144213"|"occupied"|"12"|"2019-02-04 07:56:05"|"2019-02-04 07:56:05"
"144214"|"occupied"|"79"|"2019-02-04 07:58:07"|"2019-02-04 07:58:07"
"144215"|"occupied"|"44"|"2019-02-04 08:00:05"|"2019-02-04 08:00:05"
"144216"|"occupied"|"68"|"2019-02-04 08:00:07"|"2019-02-04 08:00:07"
"144217"|"occupied"|"39"|"2019-02-04 08:01:07"|"2019-02-04 08:01:07"
"144218"|"occupied"|"56"|"2019-02-04 08:01:07"|"2019-02-04 08:01:07"
"144219"|"occupied"|"14"|"2019-02-04 08:02:03"|"2019-02-04 08:02:03"
"144220"|"occupied"|"72"|"2019-02-04 08:02:07"|"2019-02-04 08:02:07"
"144221"|"occupied"|"15"|"2019-02-04 08:07:04"|"2019-02-04 08:07:04"
